Workload: 630 seconds, 9917 total requests, peak 44 RPS
No local images at /images; fetching from GitHub...
  fetched n02123045_tabby.JPEG (86704 bytes)
  fetched n01440764_tench.JPEG (100582 bytes)
  fetched n01514859_hen.JPEG (96736 bytes)
  fetched n02085620_Chihuahua.JPEG (146425 bytes)
  fetched n02123159_tiger_cat.JPEG (74104 bytes)
  fetched n02124075_Egyptian_cat.JPEG (58654 bytes)
  fetched n02085936_Maltese_dog.JPEG (23644 bytes)
  fetched n02086079_Pekinese.JPEG (199674 bytes)
  fetched n02086240_Shih-Tzu.JPEG (316851 bytes)
  fetched n02086646_Blenheim_spaniel.JPEG (43163 bytes)
Endpoint: http://dispatcher-service:8000/predict
Results dir: /results
Spawned all the processes. Waiting to finish...
total seconds: 630
Sent 9917 requests; 6451 reported success by barazmoon
Wrote 9910 rows to /results/results.csv
=== RESULTS_CSV_BEGIN hpa70 ===
request_id,t_start,t_end,latency_ms,status,server_latency_s
de9583ab-e8a8-4473-9ab4-e200afb5da22,1782296240.417416,1782296240.523517,106.10,200,0.09680595600002562
8fb10b69-bbbf-48ff-b62c-e6459dbe63f9,1782296240.446399,1782296240.620453,174.05,200,0.09617489300035231
f2cbc8df-e380-4b9f-a5c0-abbaedf906c7,1782296240.474031,1782296240.579234,105.20,200,0.09256501399977424
471d2659-78fd-4c2f-bad8-3b693381f065,1782296240.517309,1782296240.712048,194.74,200,0.08936896799968963
5398b245-1b2a-42fa-ad37-2ac346ace3ae,1782296240.944706,1782296241.017177,72.47,200,0.0668602040004771
a059d37f-6750-43b2-b2a1-86b5a8e08a75,1782296241.132959,1782296241.206623,73.66,200,0.06527716700020392
27bc0a20-65c7-43d7-af51-e694349527e1,1782296241.263115,1782296241.338131,75.02,200,0.06755715000053897
ada34107-0bca-4d1c-a8e3-7b2a62acb19e,1782296241.287678,1782296241.410714,123.04,200,0.07140835900008824
f50e1bbc-f975-461f-9963-59d1c678082a,1782296241.311786,1782296241.483393,171.61,200,0.06368607599961251
1e21fdf2-f68d-4383-a8b0-0a1ab917c7df,1782296241.320720,1782296241.394117,73.40,200,0.0634430580003027
35f427b3-8d52-41ad-9473-8e1d5f3c1733,1782296241.541812,1782296244.343964,2802.15,200,0.06286167799953546
87a57fd6-4124-463b-ad1b-4ffce101bf24,1782296244.871040,1782296244.937620,66.58,200,0.060429064000345534
68691283-15ae-479b-b98d-b1253bce205b,1782296245.134295,1782296245.258152,123.86,200,0.11180444199999329
2fedd889-25dd-457b-b9a2-ec61b4a5b2a5,1782296245.254333,1782296245.395863,141.53,200,0.12130848000015249
1cbca7cf-5d9d-48e2-881c-030d7946e27d,1782296245.316861,1782296245.498825,181.96,200,0.17115560500042193
0144b436-908f-4369-849e-dbcebda26262,1782296245.350854,1782296245.580670,229.82,200,0.1822900520000985
6ab6919b-4965-4faa-8c7d-6a57411b392e,1782296245.684219,1782296245.863707,179.49,200,0.16743653200046538
768cc88a-803b-4ddc-baad-e0fe8b6e72e9,1782296245.871505,1782296246.007792,136.29,200,0.11337446299967269
8db19a31-a881-4834-a027-fda3fcebcb81,1782296246.001588,1782296246.157559,155.97,200,0.14127839899992978
35685da2-9028-424f-8f12-765368899509,1782296246.025632,1782296246.396814,371.18,200,0.11093259500012209
53982c7e-4203-4dc1-bbf8-cbd44571f384,1782296246.050799,1782296246.198899,148.10,200,0.13628005699956702
f3a68cbb-9129-4678-9eaf-ec954ae61dc8,1782296246.059012,1782296246.397403,338.39,200,0.11968767700000171
f9f578af-f0d3-4e2a-993c-73ca06631902,1782296246.248190,1782296246.524818,276.63,200,0.12613051500011352
5e4eb3e0-f46e-4d39-8096-d8df428d21a7,1782296246.622965,1782296246.764337,141.37,200,0.13200138299998798
07646ed4-9a5b-4888-ab0f-4020b198be54,1782296246.787362,1782296246.898174,110.81,200,0.10199951600043278
283d00d9-ff33-4e98-a8db-02bb6f287ee4,1782296246.900779,1782296247.016403,115.62,200,0.10721041399938258
7ba6dcdb-d21f-4259-a1ae-6274a2412bee,1782296246.922196,1782296247.035849,113.65,200,0.10257884500060754
386d1c9d-695f-4128-93e5-a077a7745e64,1782296246.944119,1782296247.127686,183.57,200,0.09061270200072613
a61fe53a-868d-4b1e-825a-10c5f782ac2b,1782296246.951060,1782296247.117988,166.93,200,0.0998240379994968
60457cc3-f6e8-4893-bb00-0ca681fd15a0,1782296247.202297,1782296247.296928,94.63,200,0.08719960899998114
40fcea5d-b1ec-4404-8a0f-e46f8297af45,1782296247.237043,1782296247.333874,96.83,200,0.07920222699976875
66b1b34a-52ac-4277-818e-453a049632c8,1782296247.537743,1782296247.626947,89.20,200,0.07984800499980338
